企業名,代表者,URL,インタビュー記事URL
株式会社Synergy Career,岡本 恵典,https://synergy-career.co.jp/,https://the-leader.jp/interview/synergy-career/
株式会社博水,江越 猛信,https://hakusui-foods.com/,https://the-leader.jp/interview/hakusui-foods/
豊橋法律事務所,鈴木　誠人,https://toyohashi-law.com/,https://the-leader.jp/interview/toyohashi-law/
有限会社ぬくもり工房,大高 旭,https://www.nukumorikoubou.com//,https://the-leader.jp/interview/nukumorikoubou/
株式会社IPPO,井口 幸代子,https://www.inclucive-ippo.com/,https://the-leader.jp/interview/ippo/
株式会社想像コミュニティ,込山 伸一,http://sozo-community.com//,https://the-leader.jp/interview/sozo-community/
オーガニック株式会社,大賀 高志,https://organix.co.jp/,https://the-leader.jp/interview/organix/
株式会社チャイルドサポート,佐々木 裕介,https://childsupport.co.jp/,https://the-leader.jp/interview/childsupport/
株式会社 弎画堂,相澤 里志,https://service.sankaku-do.co.jp/,https://the-leader.jp/interview/sankaku-do/
株式会社トライハッチ,武藤 尭行,https://tryhatch.co.jp/,https://the-leader.jp/interview/tryhatch/
株式会社ADeed,矢古宇 智士,https://adeed.jp/,https://the-leader.jp/interview/adeed/
ミライウェブ株式会社,工藤 魁,https://www.miraiweb.co.jp/,https://the-leader.jp/interview/miraiweb/
株式会社日本デザイン,大坪 拓摩,https://japan-design.jp/,https://the-leader.jp/interview/japan-design/
株式会社シェイク,吉田　実,https://shake.co.jp/,https://the-leader.jp/interview/shake/
株式会社ユニ・コア,谷口 功一,https://www.unicore.co.jp/,https://the-leader.jp/interview/unicore/
株式会社アンテック,末石 健二,https://www.antec-japan.net/,https://the-leader.jp/interview/antec/
ＳＫＹ　ＡＲＴ　ＪＡＰＡＮ株式会社,アルパ・アブドラ　ARPA ABDULLAH,https://skyart-japan.tokyo/,https://the-leader.jp/interview/skyart-japan/
合同会社ジョイン,家田 佳代子,https://join.tokyo/,https://the-leader.jp/interview/join/
株式会社カラーズ,伊東 竜太,https://www.colorzoo.com/,https://the-leader.jp/interview/colorzoo/
SUNNYDAY株式会社,小林 祐喜,https://sunnydayinc.jp/,https://the-leader.jp/interview/sunnyday/
株式会社オフィスTR,市原 あき子,https://www.airu-studio.com,https://the-leader.jp/interview/airu-studio/
株式会社エンカラーズ,大賀 遼,https://encolors.co.jp/,https://the-leader.jp/interview/encolors/
