企業名,企業URL
トータルリペア　ＶＩＸＴ,https://vixt.work/
株式会社チェルヴス,https://cervus-tech.com
株式会社仁匠工務店,https://www.jinsho-koumuten.com/
クラフト株式会社,http://www.craft-e.co.jp/index.html
東邦工業株式会社,
ソフト・シリカ株式会社,http://www.softsilica.com/
株式会社高英,http://takahide.co.jp/
株式会社協和開発,
合資会社サンライトリフォーム,
株式会社アッセンブル,
株式会社うめの木園,
丸神建設株式会社,
株式会社元之鉄筋工業,
株式会社レクサ,
有限会社ハウジングメイト,https://www.housing-mate.com/
株式会社ツインズ,
有限会社ミヤビ通商,https://www.miyabi-recycle.com/
ティンバラム株式会社,
東北武田電気工事株式会社,
株式会社岩城,http://www.iwaki-ltd.com/
株式会社グリーンフォレスト仁賀保,https://ja-jp.facebook.com/pg/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%95%E3%82%A9%E3%83%AC%E3%82%B9%E3%83%88%E4%BB%81%E8%B3%80%E4%BF%9D-447296645603805/about/?ref=page_internal
株式会社創栄,http://www.noshiro.com/
ホプシー有限会社,http://www.hoopsii.com/index.htm
ＣＫ交通株式会社,http://www.ck-kotsu.jp/
株式会社プレリード,https://www.plelead.com/
合同会社うましき,http://non-biri.net/
Ｃｕｒａｎｄ株式会社,http://www.curand.co.jp/
株式会社象潟合同交通,http://www.kisakata-goudo.com/index.html
田代・濁川地区森林生産有限会社,http://www.shinrinseisan.co.jp/
ベスト・プラン株式会社,https://www.best-plan.net/
株式会社大仙物流,http://www.daisenbutsuryu.jp/
プリウッド工務店株式会社,http://www.priwood.co.jp/index.html
アイテクノ株式会社,http://i-techno-a.com/
株式会社日新不動産,http://mj-fudousan.com
株式会社あきたアグリサポート,https://akita-vegefru.com/
株式会社楽,http://www.raku-happy.jp/
セルビック株式会社,https://localplace.jp/t100311191/
イオン東北株式会社,http://www.mv-tohoku.co.jp/
株式会社鳥海高原ユースパーク,http://youthpark.jp/
株式会社みさき観光タクシー,http://www.namahage.ne.jp/~misaki/index.htm
有限会社光裕不動産,https://www.koyu-f.com/
