社名,代表者名,会社URL
株式会社ティア,冨安 徳久,http://www.tear.co.jp
株式会社トーシンホールディングス(旧株式会社トーシン),石田 信文,http://www.toshin-group.com/
株式会社ナ・デックス,桑原 敏郎,http://www.nadex.co.jp/
株式会社ブロンコビリー,竹市 靖公,http://www.bronco.co.jp/
株式会社物語コーポレーション,小林 佳雄,https://www.monogatari.co.jp/
ケイティケイ株式会社,伊藤 主計,https://www.ktk.gr.jp/company
株式会社ダイセキ環境ソリューション,二宮 利彦,http://www.daiseki-eco.co.jp/
株式会社トラスト,伊藤  誠英,https://www.trust-ltd.co.jp/
株式会社中京医薬品,山田 正行,http://www.chukyoiyakuhin.co.jp/
ラクオリア創薬株式会社,谷 直樹,http://www.raqualia.co.jp/
株式会社買取王国,長谷川 和夫,http://www.okoku.jp/
株式会社コメ兵,石原 卓児,https://www.komehyo.co.jp/
株式会社オークローンマーケティング(ショップジャパン),ハリー・A・ ヒル,https://www.oaklawn.co.jp
株式会社メニコン,田中  英成,https://www.menicon.co.jp/
カネ美食品株式会社,三輪 幸太郎,https://www.kanemi-foods.co.jp/
株式会社あいや,杉田 芳男,https://www.matcha.co.jp/
日本教育フォーラム株式会社,尾方 俊男,http://jeforum.jp/
株式会社マキタ,後藤 宗利,https://www.makita.co.jp/index.html
リゾートトラスト株式会社,伏見 有貴,https://www.resorttrust.co.jp/
株式会社アイビス,神谷 栄治,https://www.ibis.ne.jp/
株式会社トキネクト,倉知 礼門,https://tokinect.com/
株式会社ティアフォー,加藤  真平,https://tier4.jp/
カゴメ株式会社,山口 聡,https://www.kagome.co.jp/company/
アイカ工業株式会社,小野 勇治,http://www.aica.co.jp/
シヤチハタ株式会社,舟橋 正剛,https://www.shachihata.co.jp/
ブラザー工業株式会社,佐々木 一郎,https://global.brother/ja
株式会社山田商会,山田 豊久,https://www.ymax.co.jp/
三州食品株式会社,岩月 顕司,http://www.sansyu-egg.co.jp/
佐久間特殊鋼株式会社,佐久間 崇透,https://www.sakuma-ss.co.jp/
株式会社DSG1兼フューチャーベンチャーキャピタル株式会社,澤田 大輔,https://dsg-1.com/
